Contract;Date and time;kWh;Consumption code;Average temperature (°C);Temperature code
0312316267;2018-10-03 01:00:00;0.04;R;9;R
0312316267;2018-10-03 00:00:00;0.06;R;9;R
0312316267;2018-10-02 23:00:00;0.00;R;9;R
0312316267;2018-10-02 22:00:00;0.06;R;10;R
0312316267;2018-10-02 21:00:00;0.00;R;10;R
0312316267;2018-10-02 20:00:00;0.06;R;10;R
0312316267;2018-10-02 19:00:00;0.03;R;10;R
0312316267;2018-10-02 18:00:00;0.03;R;10;R
0312316267;2018-10-02 17:00:00;0.82;R;10;R
0312316267;2018-10-02 16:00:00;0.00;R;11;R
0312316267;2018-10-02 15:00:00;0.06;R;11;R
0312316267;2018-10-02 14:00:00;0.02;R;11;R
0312316267;2018-10-02 13:00:00;0.04;R;10;R
0312316267;2018-10-02 12:00:00;0.06;R;10;R
0312316267;2018-10-02 11:00:00;0.00;R;9;R
